config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.0001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.431240030333935,0.002767976180991822,0.2203818725557856,0.014014930319220433,0.3962310448054181,0.002558840746550371,0.3212950497488018,0.006214103705420065,0.14089229815208956,0.004103473477671411,0.29135763138599635,0.005515969526270387,0.5577653324345548,0.001434902399373526,0.3158454710455244,0.014800704253375105,0.5176200501543633,0.003260980686011134,10.0,2.0,1.5743122690596605,0.0071410211994621395,0.21085815777814937,0.015329798062641179
concat_embed64_drop0p5_embedding_lr0p0005_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.43378703485787534,0.003935113449471153,0.21559696342305038,0.010227402805005786,0.39758442252430604,0.0019316278835643799,0.3200354480755006,0.004360178827751374,0.1409986572608265,0.0043691461348520245,0.29033027548996726,0.003792123739605851,0.5593179896297583,0.0020064889562167094,0.3114665724830511,0.00858202451012856,0.5181912248548914,0.001781979203089705,17.4,3.3226495451672298,1.566690968811867,0.005481067700977197,0.21819007143482497,0.013906193220586366
concat_embed64_drop0p5_embedding_lr0p0003_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0003,0.0005,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.4317381867628986,0.008299126212210458,0.21444674488152748,0.006528379428453376,0.39566177553123644,0.0059691216984443015,0.3202316226870201,0.002592505835495839,0.1416968103485317,0.004709945744556018,0.29059722476901745,0.0027800527556243446,0.5581946705746658,0.004629933203011652,0.3125074909616065,0.007775541775340858,0.5174182332935156,0.0028432930296519196,26.6,6.086049621881176,1.566334852427449,0.005890131464431211,0.21729144188137114,0.01439985216117571
concat_embed64_drop0p5_embedding_lr0p0003_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0003,0.001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.4307732538375045,0.006602619236088307,0.21440073613986657,0.008338886110141197,0.39491801759063894,0.004152404957160454,0.31980931430271514,0.002682247202435022,0.14212258247174545,0.0046647617981725505,0.2903260151419311,0.002729195310303572,0.5580057677164598,0.003913264982919372,0.3146635936319377,0.010518357721354612,0.5176516156108124,0.0018749892158236622,25.6,6.019966777316965,1.565731261533387,0.006071702478375719,0.21637251769763788,0.014834643407447369
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.43169111686409894,0.0027165921671369006,0.213618587531631,0.005665991012492317,0.3954622041190233,0.0016288513505192366,0.3192954299818675,0.00493505978846318,0.14090144493312132,0.004245211602409546,0.2896672553237314,0.004368226354837049,0.5579107460301569,0.0016589910581439947,0.3114220130385665,0.004422526799135756,0.5169841291265773,0.0014005862903140025,17.6,3.2619012860600183,1.5654156475508372,0.00470603269225483,0.21807252933246796,0.008038993237785034
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.43175779922073193,0.003072686828067562,0.21348056130664825,0.006625897778659196,0.39551782238144345,0.0019058675104620068,0.31992646839136923,0.005050396706455441,0.14053771923855193,0.004448135634791617,0.29015751621608554,0.004392017108864094,0.5578505557429074,0.0017814812923730664,0.31077001962812695,0.004752137472437532,0.5168492436239244,0.0015210885975116928,17.4,3.3226495451672298,1.565109694850483,0.005693776683052371,0.21827723791408368,0.009081818467816803
concat_embed64_drop0p5_embedding_lr0p0003_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0003,0.0001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.43190554640307544,0.008923655382812805,0.212514377731769,0.007984074459063947,0.39543494026489584,0.007041965044009044,0.32104337097001856,0.003256077758637786,0.14302145741819353,0.005104043996381036,0.29145065979000606,0.0034148542724317566,0.5583627698091613,0.0049851770391761245,0.3131206822450768,0.010043404893950078,0.5176164855942945,0.0030935217772460255,26.6,6.086049621881176,1.5659022640974436,0.005295411652645137,0.2193911686713064,0.0140269154575847
concat_embed64_drop0p5_embedding_lr0p001_wd0p001_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.001,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.4328181794409144,0.00258657711265884,0.210904071773637,0.004172361278584633,0.396020567851554,0.0026408250429013347,0.3208400297199103,0.0060371959924736505,0.14046950734690733,0.004937936036143044,0.29091255901159835,0.005467839534117815,0.5592470897350069,0.0016225824816514475,0.3110883395855657,0.004980102346112338,0.5180819274425674,0.0016674658206295389,9.8,1.9390719429665315,1.5750839686863367,0.007879353536119387,0.22191410766727737,0.00337517459259652
concat_embed64_drop0p5_embedding_lr0p001_wd0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.001,0.0005,256,2,0.1,0,all,5,"[123, 1, 2, 3, 42]",0.43192385136371975,0.0013368888622742384,0.2101219231654014,0.009270047882137965,0.3951448528569795,0.0010517115747242921,0.3206431124819047,0.005784478077438218,0.13955918099841833,0.0047571390571561345,0.29061668505940375,0.005240952773992421,0.5578037887149303,0.0013801727599993875,0.3068896415306452,0.006856316876473041,0.5161904761951454,0.001709092343556528,10.0,2.0,1.573497278232723,0.008975409383334226,0.22180192819831834,0.010327507963704755
