config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.9235767893099063,0.006471800712024961,0.7911203128594433,0.005001356907942696,0.9015992976831202,0.006163982192179936,0.5199448995132367,0.07986845600559433,0.39241913539617507,0.07362695758494396,0.4987855233302959,0.07871269125464524,0.9733177388005667,0.004018607923813314,0.8003906706634346,0.002258501700125445,0.94462527095095,0.0037253487856791505,5.0,3.265986323710904,0.3093478038877472,0.02364003812763243,0.132456476450463,0.002806853944985134
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p5_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.5,0.3,0,all,3,"[123, 42, 7]",0.9193078109882092,0.0017552388863655614,0.7450348899624265,0.0050060574323897745,0.8903920360464523,0.0006898036467769633,0.44748748890539175,0.005574290806495469,0.2851888425755549,0.006766340421111914,0.420558513921774,0.005340616111218982,0.9658240063744362,0.0005975468944842294,0.7713554005439736,0.0029704529237782732,0.9335573156784165,2.3606100775561047e-05,9.333333333333334,1.247219128924647,0.8586927293220319,0.007261626316624578,0.17427292102578276,0.006721289580414107
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p3_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.3,0.3,0,all,3,"[123, 42, 7]",0.9202753589079817,0.0009258797413105309,0.7446514837819189,0.0056940658586723016,0.8911354304689951,0.00038226477362055336,0.4568176220171429,0.0034628966641837566,0.2868618503842281,0.006007469498214813,0.42861815870601344,0.0033598680601171116,0.966181677190928,0.0007063633971047302,0.7717452987467349,0.002686249630186342,0.933920333739006,0.0002643931139481586,9.0,0.816496580927726,1.0796472757604216,0.015926427360866094,0.1756238751260628,0.006556130760628852
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.3,0,all,3,"[123, 42, 7]",0.9207918202975897,0.0008893384047092861,0.7444981213097157,0.008554684621851431,0.8915407531003572,0.0016624682626262132,0.46816331781348935,0.004177835058127068,0.2933920036555857,0.003860293032467318,0.43916484830532465,0.0034676248924577465,0.9668872494254815,0.000905038959320199,0.771669829745058,0.004030120321993331,0.9344963137656929,0.001129027902032484,9.0,0.816496580927726,1.4227513304228527,0.007994956560235671,0.17629369898787392,0.008516854983103887
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw0p7_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.7,0.3,0,all,3,"[123, 42, 7]",0.9195366229962633,0.002231131991020514,0.7418142780461625,0.002378354791698424,0.8900485114844459,0.0016002579248950391,0.4405704265621066,0.0034307065371740743,0.2806394284881957,0.004418985115399234,0.414034297372928,0.0031814534199743117,0.9665373147131354,0.0008242522608614497,0.771096701868449,0.002349436812721669,0.9341093463160267,0.00039745564518969665,9.666666666666666,0.9428090415820634,0.6440717752042809,0.0069040261085295505,0.17772234495010075,0.004275439702598193
