config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,5,all,5,"[123, 1, 2, 3, 42]",0.6880756256374327,0.0021974333165476045,0.338874100364784,0.012278873161938857,0.6301221965942262,0.002702645383497786,0.38591111184754134,0.005697798058613407,0.28357147581496717,0.006154826373814397,0.36893067586236433,0.0056181307648113556,0.9675508391598527,0.0012492624136893995,0.484412347898122,0.010752895401398312,0.8873873588165287,0.001990605371682055,35.4,2.4166091947189146,1.5067142200972363,0.005766556807655882,0.34920152527264875,0.012444223230568168
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,0,all,5,"[123, 1, 2, 3, 42]",0.6915888705839566,0.003920330114097991,0.33345164152617607,0.007179205257061605,0.6322542299869951,0.0030636382086194694,0.39784480210275064,0.004511804491011967,0.2868735797070927,0.006191815718723447,0.3794323193702487,0.004189611570970596,0.9715544775907466,0.00023195864038691281,0.4833704660480963,0.012142106396743938,0.8906397137380843,0.002044218729463488,31.2,1.3266499161421599,1.5443720470040532,0.0041752724732947565,0.3581372290577805,0.009618027228365092
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,10,all,5,"[123, 1, 2, 3, 42]",0.6849886247744851,0.0015457282421053313,0.3247757073844035,0.004805863316579495,0.6252212461762721,0.0014638446446045457,0.3852976271655249,0.007916848099890322,0.278990637586851,0.006439107322840018,0.3676589201154363,0.007301182764933585,0.9675729231825483,0.0013865473261532037,0.47861530226542826,0.004308064240695414,0.8864438908895991,0.0008272938132554968,37.6,5.161395160225576,1.5077947241420109,0.004070126277512007,0.36021291739008166,0.005158195440785278
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,25,all,5,"[123, 1, 2, 3, 42]",0.6769684370178889,0.005847365708751237,0.3216602583062216,0.016047207639465096,0.6180148642532984,0.006667743592680882,0.38752340190417356,0.004086852266447044,0.27261109673565426,0.006993296618020355,0.36845688148257194,0.004486802961632983,0.9668374818522971,0.0019188463134487599,0.47872048776910925,0.01417100455972437,0.8858479565543996,0.0025854814361720505,38.6,6.343500610861482,1.5228509590596275,0.006684806851992264,0.3553081787116673,0.013912500898034934
