run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,768,34,44,1.5426620539317042,0.6886718443555633,0.35206546386670673,0.6328213181528468,0.39880241280471845,0.295188459043644,0.38161054199370875,0.9729465860162511,0.5047054369766686,0.8952549079035343,0.33660638048885655
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,384,39,49,1.5362564441101627,0.6889333437933389,0.3356009070294787,0.6303075908022926,0.38861589627588966,0.2846427635228337,0.37136442558994803,0.9668427614246419,0.4754066873756522,0.885302532018451,0.3533324367638602
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,768,31,41,1.539416579986132,0.6875996966606802,0.33530513654737293,0.6292115838663688,0.4013991097460798,0.28143263711521294,0.3814939865908008,0.9712389649443417,0.4759706848522502,0.889062881370147,0.3522945601133073
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,384,30,40,1.5334117320279599,0.6844224784916987,0.33422064477965124,0.6263161625580305,0.3942384084889769,0.28191797697518767,0.3756019411077415,0.9643606803652416,0.4779916620047092,0.8836611833304985,0.35020183371204744
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,384,35,45,1.5347528940376425,0.6846774404435308,0.3329389726905258,0.6262507293081252,0.39012410068461856,0.27945208021358425,0.37176114102077873,0.9643932164469206,0.4702977807669409,0.8824117339995144,0.35173846775300505
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,768,40,50,1.5435752181137476,0.6934507465809228,0.33284038252982373,0.6336174226933683,0.39270630184742855,0.28188812700782945,0.37431908674714365,0.9718604438639616,0.4750548971523143,0.8894292971926847,0.36061036405109903
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,384,26,36,1.534462398036707,0.6833568682827609,0.3303756285122747,0.6247239534769862,0.3874950780292758,0.2787011949223147,0.3694437267764034,0.9646731539855612,0.4762144651257687,0.883626933882751,0.3529812397704862
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,768,32,42,1.5388610233585605,0.6955035171674668,0.32248841565611785,0.6337264781098788,0.3949518689056357,0.29187604058076766,0.37784947455236634,0.9720838610818832,0.47557689232619443,0.8898374346337625,0.373015101511349
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,768,25,35,1.5505983299800576,0.6882469077691766,0.3203194321206748,0.6271340781818556,0.3967176048276519,0.2849114331872845,0.3781664702018257,0.9702408249001668,0.46912997670548956,0.8870953286177796,0.3679274756485018
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,384,32,42,1.5463232196802619,0.6842067414555346,0.32012225179927095,0.6237969824366527,0.3848725973870455,0.2792086983650039,0.3673405933507685,0.9671766104237497,0.4726554000366774,0.8851244824206731,0.36408448965626367
