config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,5,"[1, 123, 2, 3, 42]",0.6875173243377805,0.003273048601225173,0.33120378586217136,0.010625915614821749,0.6283838532550585,0.003335850641779067,0.38455620743037155,0.0032301900197978304,0.2838845753455592,0.004430178466753457,0.3678525368130734,0.0021046238197696835,0.9690212678466398,0.0008847358698222926,0.4839207880366923,0.007163933287209671,0.8885346548624603,0.0007799565344519222,38.8,4.069397989875161,1.540060032620869,0.005920631661801134,0.3563135384756091,0.0109483699598728
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,5,"[1, 123, 2, 3, 42]",0.6914385084072354,0.0025821245540157537,0.330079858030169,0.00466905347782816,0.6315595469838274,0.0028388899159769534,0.39573051575920937,0.0030816291940672954,0.28357546810681283,0.004501219929842569,0.37712160072527473,0.0025918077263815485,0.9718414013146376,0.0007284343554494652,0.4763977477362607,0.007354303836251077,0.8897127489956482,0.0015560181314037795,30.8,2.1354156504062622,1.5470225630688985,0.006676501854344545,0.36135865037706644,0.0037131619336817872
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,5,"[1, 123, 2, 3, 42]",0.6904774979734076,0.004033618020170415,0.31464063886424176,0.009731323321108123,0.6280915847388125,0.0035584426462960087,0.3949981129237351,0.001034733691071752,0.27876872583248613,0.004485628999969064,0.37571305894979945,0.0005252757583098343,0.9733627630531058,0.002263624678515547,0.46466468591591514,0.010892364474664773,0.8889583758125482,0.0011781877837621889,25.6,3.6110940170535577,1.5517169194324159,0.002785770885477922,0.3758368591091658,0.010988946656116614
