run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,1,768,45,55,1.53205146300263,0.6891817682592262,0.3496993000098594,0.6327886015278933,0.3792681275189254,0.2886403894770648,0.36423095938352823,0.9676847458646186,0.4916672290105305,0.8887027953110825,0.3394824682493668
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,2,768,32,42,1.5405810033843652,0.6947909311995261,0.33569949719018083,0.6356676645237551,0.39479536639610613,0.2903916714579948,0.37747304577985996,0.9723756936984485,0.4807486041475546,0.8911864132572968,0.35909143400934523
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,2,768,26,36,1.5494626383141428,0.6894040427813372,0.33392487429754547,0.6303566657397239,0.3948988448480776,0.27703534252250706,0.3753426546036394,0.9739624540203906,0.47220601390424455,0.8907098396005697,0.3554791684837917
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,123,768,40,50,1.5447219756563704,0.6836837425799814,0.3339248742975454,0.6255854912674147,0.3848581497969024,0.28127318234740195,0.36767108328616066,0.970468987019537,0.4735095555039829,0.8880123036042115,0.349758868282436
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s1,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,1,768,29,39,1.5579068659643924,0.6897962919380016,0.3321502514049102,0.6304548156145829,0.39250084573989563,0.27728203175452865,0.37338346809724515,0.9729875454723109,0.47438458379738757,0.8902581636485432,0.3576460405330914
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,123,768,28,38,1.546792376876915,0.6942679323239737,0.33185448092280423,0.6341354359217908,0.39859563177461516,0.28200488384017214,0.3792506176953757,0.9712203044215869,0.4748029652401549,0.8888535662475465,0.36241345140116943
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,768,34,44,1.5501119962701873,0.6884299573756205,0.32889677610174556,0.6287753622003299,0.392697745042792,0.286571343527196,0.3750889884556717,0.9715431474292621,0.48708583286504903,0.8911608448066188,0.35953318127387496
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s2,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,2,768,33,43,1.5367578444435026,0.6921628618498744,0.32840382529823553,0.6318725360292096,0.38844964407096017,0.28007182751633247,0.37046736267179875,0.9688991209791463,0.47752882012676734,0.88738182412769,0.3637590365516389
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,3,768,36,46,1.538074511538063,0.6838864046442577,0.3263334319234945,0.6245603703522219,0.3871470422882012,0.27958227289487714,0.3692996424992411,0.9691179188326068,0.4902294613293725,0.8896596141352305,0.35755297272076314
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,3,768,31,41,1.5397205728486323,0.6899074291990553,0.32179828453120407,0.6287644566586782,0.40006298984263783,0.2816274099541727,0.3804118835982212,0.9710803155515796,0.4649667526311573,0.8871047570182358,0.3681091446678513
concat_embed32_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,32,0.5,embedding,0.0005,0.0001,128,2,0.3,42,768,40,50,1.5486943684637793,0.6886718443555625,0.31765749778172186,0.6271122670985532,0.3830580734768687,0.2898552044921198,0.36759363622463836,0.9689355665372903,0.4866688742128084,0.8889167371340869,0.37101434657384064
concat_embed128_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s3,concat,128,0.5,embedding,0.0005,0.0001,128,2,0.3,3,768,27,37,1.5478971064554896,0.6893844303235029,0.31193926846100817,0.6267578369948965,0.3967207822790726,0.2706985044843962,0.37581087054192214,0.9744944077753483,0.46535587406816326,0.8900169389397007,0.37744516186249477
