config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,0,all,5,"[123, 1, 2, 3, 42]",0.6900460239010767,0.0015980718245291526,0.14023464458247067,0.007727003451913545,0.5988200203933879,0.0019774023632043326,0.6175250572733202,0.004025790674305034,0.11166953666184164,0.002256636323959498,0.5335923137297461,0.0034633256603336386,0.9647947383036122,0.0006562697727719811,0.19240600282218837,0.00721708609795354,0.8366381738111602,0.0015624858916696489,30.4,1.624807680927192,1.5461216156492525,0.0032580459691866604,0.549811379318606,0.007663013877604164
text_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,text,64,0.5,embedding,0.0005,0.0001,128,2,0.3,0,all,5,"[123, 1, 2, 3, 42]",0.6826874297220538,0.003016128779276128,0.1359558316080055,0.002960332724572426,0.5919724307907309,0.002674670743646094,0.5727006873412299,0.00859260605168048,0.11182504829785514,0.0014753318998731511,0.4962311120550911,0.007287902703562925,0.9569449217727714,0.0015118452059950868,0.18988004700490269,0.0022252624381586513,0.8296717048325857,0.000990282984960265,31.4,4.586937976471886,1.5370452389278053,0.004608161188905175,0.5467315981140483,0.003693404898505686
categorical_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,categorical,64,0.5,embedding,0.0005,0.0001,128,2,0.3,0,all,5,"[123, 1, 2, 3, 42]",0.6575311838079838,0.005710293353789111,0.12781228433402347,0.009793055500381925,0.5696389720436693,0.00451649475635816,0.6456684035538572,0.01374276474768982,0.1087601245538014,0.0030353949728686254,0.55658331294684,0.011742193284850877,0.9599027149555329,0.002415436444818303,0.1843635494580917,0.007791680793879988,0.8312234236689426,0.002293920065542525,25.6,8.01498596380555,1.6618473511467382,0.007719086739779378,0.5297188994739603,0.012810400087758437
