config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p3_cltriplet_t0p07_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,1,[42],0.9180395387149947,0.0,0.797331492983667,0.0,0.8980113744799444,0.0,0.5587045279203359,0.0,0.403444447903937,0.0,0.5329434084947363,0.0,0.9711038909986041,0.0,0.8036919309560393,0.0,0.9433265029187144,0.0,3.0,0.0,0.3001768345741083,0.0,0.12070804573132765,0.0
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.3,0,all,1,[42],0.9106064171962062,0.0,0.7828387393604784,0.0,0.8894069021173132,0.0,0.5017097251333388,0.0,0.33416037365014933,0.0,0.47390954074090313,0.0,0.9662607865777706,0.0,0.7974319405859838,0.0,0.9382483054324483,0.0,3.0,0.0,1.4947712006396348,0.0,0.12776767783572773,0.0
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw1p0_tm0p3_clinfonce_t0p07_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,1,[42],0.9397505295363643,0.0,0.771796641361859,0.0,0.9118832234600033,0.0,0.5390062424815713,0.0,0.30846214653478904,0.0,0.5007538212028713,0.0,0.975867591506335,0.0,0.7841155413342682,0.0,0.9440516381455971,0.0,3.0,0.0,1.29587906579932,0.0,0.1679538881745053,0.0
