config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.9187717371407683,0.0014170217567985551,0.7951077371367227,0.002658528613351704,0.8982531139865414,0.0016005118307134,0.4939036566019773,0.0142921133549385,0.3669667697729616,0.014360481875476418,0.4728419883304505,0.013472245832206015,0.9710570102729841,0.00035498477150750955,0.8037297579147538,0.0016066447512977228,0.9432936770922814,0.0005332357177618616,5.0,0.816496580927726,0.2956290034860814,0.0006697951102982545,0.12366400000404561,0.0014371885201025602
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm1p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.5,0,all,3,"[123, 42, 7]",0.9241324756151809,0.0042911810740113646,0.7947243309562151,0.0028257841841405214,0.9026607704038166,0.0031520358973110693,0.5520347030086209,0.012579267872430277,0.41794318005553455,0.01659591424476966,0.5297859206017708,0.013244427297403265,0.9746880501305564,0.0017419435451019318,0.8028798844955815,0.0012506248781998255,0.9461812332285663,0.0012523999404816424,2.3333333333333335,0.4714045207910317,1.497224420786887,0.03340791205008851,0.1294081446589657,0.006983079445248016
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p7_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.7,0,all,3,"[123, 42, 7]",0.9228315159122441,0.0034047186629554667,0.7939575185951999,0.0030189432842619183,0.9014484376902815,0.003264585424544458,0.5384727828670746,0.04574348454520651,0.39953350683334665,0.0482095918823394,0.5154196498116672,0.04585051136355987,0.9737447305992413,0.0023451084299030193,0.8028538465974852,0.00021783708844333994,0.9453901112337832,0.0019365414434262109,3.3333333333333335,1.8856180831641267,0.6991081113923796,0.03429281372276024,0.12887399731704416,0.0019447763930551072
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p5_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.5,0,all,3,"[123, 42, 7]",0.9235702518239617,0.00438480640043346,0.7939575185951998,0.0023783547916985215,0.9020646007935623,0.003849252844826878,0.5585965944974676,0.04495422735950037,0.435840561785328,0.06179305221259563,0.5382286234222482,0.04723785312822224,0.974086383187942,0.0023633034144800408,0.8018950909251005,0.0006986841366867009,0.9455159970103563,0.0019251875237744603,2.3333333333333335,1.247219128924647,0.5010509110986049,0.027518067188620956,0.12961273322876185,0.003949046201925446
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm1_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,1.0,0,all,3,"[123, 42, 7]",0.9234852645066846,0.0034737988269811625,0.7933440687063876,0.0028132714251736567,0.9018919297174218,0.0032785691166606714,0.5401098424816027,0.04049057353544624,0.40206407196664773,0.04494521426774054,0.5172049619736249,0.04072872416450582,0.9745016400030567,0.0020817728797808484,0.8020605721519275,0.0014524671058291545,0.9458898104695305,0.001923223765193646,3.3333333333333335,1.8856180831641267,1.0008791898894736,0.034467736679813524,0.1301411958002969,0.002132292270795572
