config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_tw0p7_tm0p3_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.7,0.3,0,all,1,[42],0.9099984310033766,0.0,0.7929606625258797,0.0,0.8905792478447948,0.0,0.488350343161349,0.0,0.3613010132445628,0.0,0.46727001806694585,0.0,0.9664794330739988,0.0,0.8006421557303268,0.0,0.9389633200691916,0.0,3.0,0.0,0.6939009394986445,0.0,0.11703776847749692,0.0
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s42_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.3,0,all,1,[42],0.9125872754373605,0.0,0.781458477110651,0.0,0.890830075302767,0.0,0.5035258593546588,0.0,0.33545454516888357,0.0,0.47563906967697783,0.0,0.9660286234022649,0.0,0.7977289598576032,0.0,0.9381039454592652,0.0,3.0,0.0,1.498975686124853,0.0,0.13112879832670954,0.0
