config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,0,all,5,"[123, 1, 2, 3, 42]",0.6906265526529399,0.004000984126414363,0.13747412008281573,0.004565309981653893,0.59884619369335,0.003681904352126618,0.6174395902400438,0.003278184853301692,0.10997498560266648,0.003222739373749935,0.5332398636719046,0.0030882080569272297,0.9652577206299029,0.0011150204140144633,0.19062762522594698,0.005317802663741306,0.8367292644017645,0.0014332815241397802,31.2,1.3266499161421599,1.5445305210813383,0.003641562319883621,0.5531524325701241,0.004848676936535833
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn5a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,5,all,5,"[123, 1, 2, 3, 42]",0.6865170889882865,0.005575540564046664,0.1359558316080055,0.006355204656022824,0.595166663940306,0.004134910001608508,0.5687014704861727,0.007909124191761839,0.1034139049016799,0.006897479939933649,0.4914998579209683,0.007402886526916927,0.9601857106995659,0.0016789266220129878,0.1880488485164073,0.005686545508937117,0.8320709376200518,0.0012602771950196178,36.8,5.491812087098392,1.5085876647562158,0.00470310738006821,0.5505612573802809,0.01059414861215986
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn10a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,10,all,5,"[123, 1, 2, 3, 42]",0.6824167778039558,0.0034405153183443373,0.13195307108350587,0.009055193632495084,0.5910825385920104,0.003963570466147016,0.5747066155702728,0.004054243096142587,0.10377612124106478,0.00197403724892196,0.496568714930971,0.0033905316136435405,0.958950780666333,0.002219557537021891,0.18700278284180744,0.006980097037902466,0.8308673444075746,0.002525728263180349,30.8,6.273754856543249,1.5095265264310151,0.005764630745456042,0.5504637067204499,0.007492147901294186
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s123_knn25a,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,25,all,5,"[123, 1, 2, 3, 42]",0.6797494835386386,0.0044879265344019955,0.12629399585921325,0.005398925387331391,0.5879188409590586,0.003189969547314001,0.5807197013588011,0.007627325728428043,0.09966468862123488,0.0022571692761456765,0.5009019166964017,0.006680810489584169,0.961116192155559,0.0016472036021206316,0.1817552873373006,0.0059805418242087505,0.8318027888483729,0.0008944725170118349,39.6,3.7202150475476548,1.5214687294442337,0.005095345364686669,0.5534554876794254,0.009099910380219161
