config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_tw0p7_tm0p2_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.7,0.2,0,all,3,"[123, 1, 42]",0.44511562633473734,0.004529429984439766,0.24001226899777622,0.005263707476951323,0.4110843925340668,0.004285339032760587,0.2984322369825892,0.0027567951995671656,0.13664009630900345,0.0013171620570794544,0.27158764269953944,0.002330407766532637,0.5736441581152465,0.0031619496919800634,0.33656066600152923,0.003982195329934034,0.5343092408691008,0.003074741471705293,11.666666666666666,0.9428090415820634,0.5776093889782675,0.005691619348798522,0.2051033573369611,0.004916149049408945
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,0,all,3,"[123, 1, 42]",0.4414916799595553,0.007043160076821038,0.2399355877616747,0.008210981503370025,0.4080490167745413,0.005758945799683467,0.30302153437289014,0.0011214876442245867,0.1406563220314347,0.0013652974228077087,0.2760814124155181,0.0011501341736648535,0.5719482176197623,0.005979464040792401,0.34393808549459215,0.002617205195406178,0.5341162143354082,0.005417830223108165,8.0,1.632993161855452,1.42861089693315,0.018986592813074455,0.2015560921978806,0.011838725269625608
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,0,all,3,"[123, 1, 42]",0.4326835072304598,0.0030174021153851786,0.2148608235564757,0.005466463283681189,0.39646551395091456,0.0024630273055146414,0.3201950091281178,0.005577189388167949,0.14238050033216867,0.0035485663341383606,0.29067259417704705,0.004785674445921596,0.5587231618115873,0.0017710075184502643,0.3184783010208885,0.006125721016064144,0.5188293610146074,0.0016984949562138304,16.333333333333332,1.247219128924647,1.5695286402539963,0.0025410944414748387,0.21782268367398408,0.006723622373217876
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_tw0p7_tm0p2,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.7,0.2,0,all,3,"[123, 1, 42]",0.42307340289218387,0.002940837024088748,0.2103366306264857,0.005392822934596194,0.38773744544957206,0.002077867421863595,0.3042371420756651,0.005124633139818279,0.13084119711686362,0.006367161851199832,0.2754060354623707,0.004873976645166389,0.5527407730445683,0.0026779493809775644,0.3141132627890429,0.009567046232852356,0.513102572633878,0.0015367601822569854,14.666666666666666,6.018490028422596,0.624318230587174,0.0019063834841610654,0.2127367722656982,0.007519370594120867
