config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_clinfonce_t0p07_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.9359261002588866,0.003198334296019072,0.6816961889425661,0.011271880883375758,0.8937436725138559,0.003980887033942796,0.42348575711305747,0.0036833051311410516,0.22626331837975602,0.002543317234974591,0.39076214395325515,0.003288538517154862,0.9713024285179868,0.002073073402063882,0.7252725076818843,0.008150158524456736,0.9304805625736937,0.003061627774805936,15.333333333333334,0.9428090415820634,1.2456362890567392,0.005550674501315086,0.2542299113163204,0.009973484370856444
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_clinfonce_t0p05_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.9334222431421793,0.005551684489099372,0.6616823863200678,0.027949653133269643,0.8883345238549648,0.008159330574001743,0.4044940792611102,0.006636099223444764,0.20936470910337648,0.0069527933036317964,0.37211775298622685,0.0066717762081226,0.9697884565158977,0.0008023248030783964,0.7122917073816301,0.020434691820745463,0.9270639873191092,0.0036063243848008593,21.0,1.4142135623730951,1.2421568707120858,0.0025814568267045666,0.27173985682211144,0.025323541084281
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_clinfonce_t0p1_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.9224392667555785,0.0015431513661230548,0.6098458707154364,0.01005021619775708,0.8705730316860525,0.002942277276343426,0.3796992294505766,0.011053022482935443,0.20563060724489166,0.005838386883220737,0.35081735225190064,0.010090911147377998,0.9592191506825859,0.0013341372436875463,0.6739666225666316,0.006213539365355964,0.9118893770377882,0.002124000783562272,24.333333333333332,1.699673171197595,1.2398621205392366,0.0056336616293549985,0.31259339604014214,0.008538029099855604
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_tw1p0_tm0p3_clinfonce_t0p2_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,1.0,0.3,0,all,3,"[123, 42, 7]",0.8558222849820891,0.015796852372737657,0.5078598267004069,0.008369151843964516,0.798087531512472,0.014291388362918583,0.3305842961198863,0.010724441819115773,0.20407885662516867,0.008913451865276327,0.30959421460977,0.010409618063225075,0.9118280175312953,0.009966559136906968,0.6120793076068206,0.00603530156456046,0.8620930031398417,0.009180870972374756,19.0,2.449489742783178,1.3466266890230352,0.005454028411944862,0.3479624582816822,0.010587830855913995
