config_label,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,triplet_weight,triplet_margin,knn_edges,knn_scope,n_seeds,seeds,seen_ndcg1_mean,seen_ndcg1_std,unseen_ndcg1_mean,unseen_ndcg1_std,all_ndcg1_mean,all_ndcg1_std,seen_map_mean,seen_map_std,unseen_map_mean,unseen_map_std,all_map_mean,all_map_std,seen_mrr_mean,seen_mrr_std,unseen_mrr_mean,unseen_mrr_std,all_mrr_mean,all_mrr_std,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,seen_unseen_gap_mean,seen_unseen_gap_std
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p2_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.2,0.0,0.2,0,all,3,"[123, 1, 42]",0.44677396860263463,0.0038215182743916477,0.2454566367609846,0.003598303260992277,0.4133709211002244,0.002591675963037533,0.30234721177550244,0.000955978886264499,0.13765072298090603,0.0033219702280434917,0.2750201328250737,0.0002745930965927923,0.576149009109075,0.002364007177640414,0.342853772943475,0.0006859617074919488,0.5374360359015863,0.001878114786645524,11.666666666666666,2.3570226039551585,1.4211462655309903,0.01911441079309072,0.20131733184165007,0.0074166111648487605
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p2_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.2,0.0,0.2,0,all,3,"[123, 1, 42]",0.4457214333655854,0.003689491779392188,0.24445978069166477,0.0023783547916986104,0.41236579367805815,0.0027684435808313325,0.3021584950018839,0.0009729060588551031,0.13775439114789448,0.002522631862792623,0.2748806256845344,0.0005822856102412099,0.5759841317975133,0.0032289761298056377,0.3418902410109075,0.0026762679753877406,0.5371604573670098,0.002778764726355497,11.666666666666666,2.3570226039551585,1.4195165582095637,0.01969638044136855,0.20126165267392063,0.005787014456080609
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p1_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.1,0.0,0.2,0,all,3,"[123, 1, 42]",0.4456255502384008,0.0014068646799582493,0.2443830994555632,0.006466733729716449,0.4122349271782463,0.00021347208957876805,0.3030850658124915,0.0021188781672804016,0.13971330931506312,0.0024673134003041284,0.27597675289978396,0.0016569667955335275,0.5745202642367645,0.000986304386498559,0.3422598124671521,0.001969595374311509,0.53598115267239,0.000529036263702131,11.0,2.943920288775949,1.425808540918132,0.016025240956738393,0.2012424507828376,0.007857301733870939
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p1_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.1,0.0,0.2,0,all,3,"[123, 1, 42]",0.44708123044202175,0.004079259685893267,0.24177593742811132,0.00781471716193375,0.4129783216007888,0.0021548236049011823,0.30316713262772943,0.0017516058616312822,0.14097651772506467,0.0013435317408115371,0.27625483251749094,0.0016241645378986915,0.5758438195867713,0.002702616785000537,0.34443087670917255,0.0034432485467476392,0.5374258629914971,0.002021210040178093,8.0,1.632993161855452,1.429201729753797,0.018411541213578114,0.20530529301391043,0.011863259350826747
concat_embed64_drop0p5_embedding_lr0p0005_h256_l2_do0p3_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0001,256,2,0.3,0.0,0.2,0,all,3,"[123, 1, 42]",0.44822529048229254,0.0036366772869488194,0.24024231270608082,0.0058207069133803776,0.41375443264828415,0.0037387889394890905,0.3018445045290741,0.0003102115536341502,0.13352739436543984,0.00311435112046015,0.2739169948014166,0.0007384479509116479,0.5765532230825134,0.001759405135139975,0.3371042059339542,0.004180972397066571,0.5368405009674203,0.0013902228331510791,15.0,4.08248290463863,1.4128597345328873,0.021175621097922797,0.20798297777621175,0.004557736759484442
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0005_h256_l2_do0p3_s123_knn0a_ag,concat,64,0.5,embedding,0.0005,0.0005,256,2,0.3,0.0,0.2,0,all,3,"[123, 1, 42]",0.4486001063431052,0.006096492978075569,0.23886205045625333,0.006270068582703691,0.41379987240516336,0.006061020700683316,0.3017139117432475,0.000971622953780917,0.1337304452721435,0.0031975890933639978,0.27384168948190946,0.0012220504837328217,0.5766530638696012,0.0027224907540173604,0.33827498595591504,0.0008090742426461241,0.5371023244462984,0.002339954841164678,15.0,4.08248290463863,1.4133359668527528,0.024185683799323034,0.20973805588685188,0.002385313558653438
