run_name,features,entity_embed_dim,ci_dropout_rate,ci_dropout_mode,lr,weight_decay,hidden_dim,num_layers,dropout,seed,input_dim,best_epoch,epochs_trained,best_val_loss,seen_ndcg1,unseen_ndcg1,all_ndcg1,seen_map,unseen_map,all_map,seen_mrr,unseen_mrr,all_mrr,seen_unseen_gap
concat_embed64_drop0p3_embedding_lr0p0003_wd0p0001_h128_l2_do0p3_s42,concat,64,0.3,embedding,0.0003,0.0001,128,2,0.3,42,768,48,58,1.5482195175081779,0.693195784629092,0.32377008774524346,0.631899799883339,0.3996636702220219,0.2866467717104548,0.3809116329691223,0.9745706637107144,0.4709680523111579,0.8910117281882185,0.3694256968838486
concat_embed64_drop0p3_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.3,embedding,0.0005,0.0001,128,2,0.3,42,768,23,33,1.5557111397392422,0.6899662665725547,0.3210095632455886,0.6287480983462015,0.397914882868693,0.2871004992440938,0.37952826634485914,0.971546421161959,0.4710646493652199,0.8885053027223079,0.36895670332696606
concat_embed64_drop0p3_embedding_lr0p001_wd0p0001_h128_l2_do0p3_s42,concat,64,0.3,embedding,0.001,0.0001,128,2,0.3,42,768,13,23,1.563832914288635,0.6903650532151642,0.3285024154589377,0.6303239491147705,0.401777041453308,0.2894108185614458,0.3831329940651648,0.9744227563709227,0.4848639782254988,0.8931940068538358,0.36186263775622646
concat_embed64_drop0p5_embedding_lr0p0003_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.0003,0.0001,128,2,0.3,42,768,47,57,1.5450557558786635,0.6902343034962758,0.32396726806664744,0.6294624113243422,0.3972763912598607,0.2881054901279153,0.37916250962695197,0.9707294305309172,0.4676776327870527,0.8872618873119936,0.36626703542962835
concat_embed64_drop0p5_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.0005,0.0001,128,2,0.3,42,768,23,33,1.5515271857196564,0.6897243795926127,0.3191363501922514,0.628235537888606,0.3933582431093017,0.2853815060566839,0.3754424966736218,0.971228650612967,0.47554714392662994,0.8889840035056152,0.3705880294003613
concat_embed64_drop0p5_embedding_lr0p001_wd0p0001_h128_l2_do0p3_s42,concat,64,0.5,embedding,0.001,0.0001,128,2,0.3,42,768,23,33,1.5531676900097389,0.6947255563400825,0.31055900621118065,0.6309837343846553,0.3900652132401654,0.2796092656043414,0.37173809817277237,0.9759120852694418,0.4618971301231069,0.8906255090634372,0.38416655012890183
concat_embed64_drop0p7_embedding_lr0p0003_wd0p0001_h128_l2_do0p3_s42,concat,64,0.7,embedding,0.0003,0.0001,128,2,0.3,42,768,57,67,1.5389987202450817,0.6879134959860111,0.3341220546189493,0.629211583866368,0.3885938365101554,0.28850080556436836,0.3719861752609868,0.9692162238445958,0.4780287088504082,0.8877172304601257,0.35379144136706187
concat_embed64_drop0p7_embedding_lr0p0005_wd0p0001_h128_l2_do0p3_s42,concat,64,0.7,embedding,0.0005,0.0001,128,2,0.3,42,768,39,49,1.5445905259263881,0.6873120472791274,0.3290939564231493,0.6278756550141229,0.38533210422654357,0.28846272848801496,0.36925925085277517,0.9693342297432507,0.4695769083071602,0.8864133138196396,0.3582180908559781
concat_embed64_drop0p7_embedding_lr0p001_wd0p0001_h128_l2_do0p3_s42,concat,64,0.7,embedding,0.001,0.0001,128,2,0.3,42,768,25,35,1.5522066397345835,0.6903846656729975,0.3316573006014004,0.6309292066764005,0.38145545494877503,0.28237185595119,0.3650152653990371,0.97171255103305,0.48303478827800284,0.8906299816717694,0.3587273650715971
